#,Title,Speaker,Year,Month,Session,URL
38,Young People—Learn Wisdom in Thy Youth,Paul H. Dunn,1971,4,Tuesday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/young-people-learn-wisdom-in-thy-youth?lang=eng
39,Honesty and Integrity,Delbert L. Stapley,1971,4,Tuesday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/honesty-and-integrity?lang=eng
40,Help Needed in the Shaded Areas,William H. Bennett,1971,4,Tuesday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/help-needed-in-the-shaded-areas?lang=eng
41,Man Cannot Endure on Borrowed Light,Henry D. Taylor,1971,4,Tuesday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/man-cannot-endure-on-borrowed-light?lang=eng
42,A Witness and a Blessing,Joseph Fielding Smith,1971,4,Tuesday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/04/a-witness-and-a-blessing?lang=eng
43,“I Know That My Redeemer Liveth”,Joseph Fielding Smith,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/i-know-that-my-redeemer-liveth?lang=eng
44,The Only True and Living Church,Boyd K. Packer,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-only-true-and-living-church?lang=eng
45,A Time of Testing,Henry D. Taylor,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/a-time-of-testing?lang=eng
46,Decisions,Eldred G. Smith,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/decisions?lang=eng
47,“This Is My Beloved Son”,Loren C. Dunn,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/this-is-my-beloved-son?lang=eng
48,The Purpose of Life: To Be Proved,Franklin D. Richards,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-purpose-of-life-to-be-proved?lang=eng
49,Satan’s Thrust—Youth,Ezra Taft Benson,1971,10,Friday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/satans-thrust-youth?lang=eng
50,Should the Commandments Be Rewritten?,Richard L. Evans,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/should-the-commandments-be-rewritten?lang=eng
