#,Title,Speaker,Year,Month,Session,URL
970,Commitment to God,Howard W. Hunter,1982,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/commitment-to-god?lang=eng
971,Fundamentals of Enduring Family Relationships,Ezra Taft Benson,1982,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/fundamentals-of-enduring-family-relationships?lang=eng
972,The Pearl of Great Price,J. Thomas Fyans,1982,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/the-pearl-of-great-price?lang=eng
973,Pure Religion,Marvin J. Ashton,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/pure-religion?lang=eng
974,“Be of Good Cheer”,Neal A. Maxwell,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/be-of-good-cheer?lang=eng
975,"Be a Friend, a Servant, a Son of the Savior",Robert E. Wells,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/be-a-friend-a-servant-a-son-of-the-savior?lang=eng
976,“However Faint the Light May Glow”,Vaughn J. Featherstone,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/however-faint-the-light-may-glow?lang=eng
977,"“Behold My Beloved Son, in Whom I Am Well Pleased”",George P. Lee,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/behold-my-beloved-son-in-whom-i-am-well-pleased?lang=eng
978,Reach Out in Love and Kindness,Gordon B. Hinckley,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/reach-out-in-love-and-kindness?lang=eng
979,Let Us Do As We Have Been Counseled,N. Eldon Tanner,1982,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/let-us-do-as-we-have-been-counseled?lang=eng
980,Preparation for Tomorrow,Victor L. Brown,1982,10,Welfare Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/preparation-for-tomorrow?lang=eng
981,Application of Welfare Principles in the Home: A Key to Many Family Problems,Barbara B. Smith,1982,10,Welfare Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/application-of-welfare-principles-in-the-home-a-key-to-many-family-problems?lang=eng
982,The Blessings of Family Work Projects,Dean Jarman,1982,10,Welfare Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/the-blessings-of-family-work-projects?lang=eng
983,The Blessings We Receive As We Meet the Challenges of Economic Stress,James E. Faust,1982,10,Welfare Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/the-blessings-we-receive-as-we-meet-the-challenges-of-economic-stress?lang=eng
984,The Celestial Nature of Self-reliance,Marion G. Romney,1982,10,Welfare Session,https://www.churchofjesuschrist.org/study/general-conference/1982/10/the-celestial-nature-of-self-reliance?lang=eng
985,"He Slumbers Not, nor Sleeps",Gordon B. Hinckley,1983,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/he-slumbers-not-nor-sleeps?lang=eng
986,“Shine As Lights in the World”,Neal A. Maxwell,1983,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/shine-as-lights-in-the-world?lang=eng
987,The Sacrament,David B. Haight,1983,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/the-sacrament?lang=eng
988,Evidences of the Resurrection,Howard W. Hunter,1983,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/evidences-of-the-resurrection?lang=eng
989,Unity,Marion G. Romney,1983,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/unity?lang=eng
990,The Keys of the Kingdom,Bruce R. McConkie,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/the-keys-of-the-kingdom?lang=eng
991,Valiance in the Drama of Life,Royden G. Derrick,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/valiance-in-the-drama-of-life?lang=eng
992,That Ye May Have Roots and Branches,Hartman Rector Jr.,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/that-ye-may-have-roots-and-branches?lang=eng
993,The Gospel of Jesus Christ and Basic Needs of People,James M. Paramore,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/the-gospel-of-jesus-christ-and-basic-needs-of-people?lang=eng
994,Receiving a Prophet,Loren C. Dunn,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/receiving-a-prophet?lang=eng
995,Straightway,Marvin J. Ashton,1983,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/straightway?lang=eng
996,A Royal Generation,Dean L. Larsen,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/a-royal-generation?lang=eng
997,Within the Clasp of Your Arms,Jeffrey R. Holland,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/within-the-clasp-of-your-arms?lang=eng
998,Muddy Feet and White Shirts,Matthew S. Holland,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/muddy-feet-and-white-shirts?lang=eng
999,Enriching Family Life,James E. Faust,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/enriching-family-life?lang=eng
1000,A Call to the Priesthood: “Feed My Sheep”,Ezra Taft Benson,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/a-call-to-the-priesthood-feed-my-sheep?lang=eng
1001,Overpowering the Goliaths in Our Lives,Gordon B. Hinckley,1983,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/overpowering-the-goliaths-in-our-lives?lang=eng
1002,A Principle with a Promise,Ezra Taft Benson,1983,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/a-principle-with-a-promise?lang=eng
1003,“Anonymous”,Thomas S. Monson,1983,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/anonymous?lang=eng
1004,Repentance,F. Burton Howard,1983,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/repentance?lang=eng
1005,Finding One’s Identity,Victor L. Brown,1983,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/finding-ones-identity?lang=eng
1006,Creator and Savior,Mark E. Petersen,1983,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/creator-and-savior?lang=eng
1007,Agency and Control,Boyd K. Packer,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/agency-and-control?lang=eng
1008,Teaching—No Greater Call,M. Russell Ballard,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/teaching-no-greater-call?lang=eng
1009,To Forgive Is Divine,Theodore M. Burton,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/to-forgive-is-divine?lang=eng
1010,Profanity and Swearing,Ted E. Brewerton,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/profanity-and-swearing?lang=eng
1011,Climbing to Higher Spirituality,Jacob de Jager,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/climbing-to-higher-spirituality?lang=eng
1012,Train Up a Child,L. Tom Perry,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/train-up-a-child?lang=eng
1013,“Fear Not to Do Good”,Gordon B. Hinckley,1983,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/04/fear-not-to-do-good?lang=eng
1014,Except Ye Are One,Gordon B. Hinckley,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/except-ye-are-one?lang=eng
1015,Jesus Christ: Our Savior and Redeemer,Ezra Taft Benson,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/jesus-christ-our-savior-and-redeemer?lang=eng
1016,The Keystone of Our Religion,James E. Faust,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-keystone-of-our-religion?lang=eng
1017,“Our Father Which Art in Heaven”,L. Tom Perry,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/our-father-which-art-in-heaven?lang=eng
1018,Parent-Child Interviews,Carlos E. Asay,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/parent-child-interviews?lang=eng
1019,The Mystery of Life,Boyd K. Packer,1983,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-mystery-of-life?lang=eng
1020,Labels,Thomas S. Monson,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/labels?lang=eng
1021,Agency and Love,Marion D. Hanks,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/agency-and-love?lang=eng
1022,Friend or Foe,Charles A. Didier,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/friend-or-foe?lang=eng
1023,“Honour Thy Father and Thy Mother”,Paul H. Dunn,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/honour-thy-father-and-thy-mother?lang=eng
1024,The House of the Lord,Adney Y. Komatsu,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-house-of-the-lord?lang=eng
1025,The Angel Moroni Came!,Mark E. Petersen,1983,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-angel-moroni-came?lang=eng
1026,Our Responsibility to Take the Gospel to the Ends of the Earth,Jack H Goaslind Jr.,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/our-responsibility-to-take-the-gospel-to-the-ends-of-the-earth?lang=eng
1027,The Blessings of Missionary Service,James M. Dunn,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-blessings-of-missionary-service?lang=eng
1028,“Called As If He Heard a Voice from Heaven”,Vaughn J. Featherstone,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/called-as-if-he-heard-a-voice-from-heaven?lang=eng
1029,Become a Star Thrower,David B. Haight,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/become-a-star-thrower?lang=eng
1030,What Manner of Men Ought We to Be?,Ezra Taft Benson,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/what-manner-of-men-ought-we-to-be?lang=eng
1031,Be Not Deceived,Gordon B. Hinckley,1983,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/be-not-deceived?lang=eng
1032,God Grant Us Faith,Gordon B. Hinckley,1983,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/god-grant-us-faith?lang=eng
1033,"Joseph, the Seer",Neal A. Maxwell,1983,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/joseph-the-seer?lang=eng
1034,Be a Peacemaker,Franklin D. Richards,1983,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/be-a-peacemaker?lang=eng
1035,Removing the Poison of an Unforgiving Spirit,H. Burke Peterson,1983,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/removing-the-poison-of-an-unforgiving-spirit?lang=eng
1036,“The Word Is Commitment”,Marvin J. Ashton,1983,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-word-is-commitment?lang=eng
1037,Parents’ Concern for Children,Howard W. Hunter,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/parents-concern-for-children?lang=eng
1038,Your Sorrow Shall Be Turned to Joy,Robert D. Hales,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/your-sorrow-shall-be-turned-to-joy?lang=eng
1039,How Do You Know?,William R. Bradford,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/how-do-you-know?lang=eng
1040,The Power to Make a Difference,Richard G. Scott,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/the-power-to-make-a-difference?lang=eng
1041,What Think Ye of the Book of Mormon?,Bruce R. McConkie,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/what-think-ye-of-the-book-of-mormon?lang=eng
1042,Let Us Go Forward!,Gordon B. Hinckley,1983,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1983/10/let-us-go-forward?lang=eng
1043,Live Up to Your Inheritance,Gordon B. Hinckley,1983,10,General Women’s Meeting,https://www.churchofjesuschrist.org/study/general-conference/1983/10/live-up-to-your-inheritance?lang=eng
1044,A Season for Strength,Barbara B. Smith,1983,10,General Women’s Meeting,https://www.churchofjesuschrist.org/study/general-conference/1983/10/a-season-for-strength?lang=eng
1045,Prepare to Teach His Children,Dwan J. Young,1983,10,General Women’s Meeting,https://www.churchofjesuschrist.org/study/general-conference/1983/10/prepare-to-teach-his-children?lang=eng
1046,Agency and Accountability,Elaine A. Cannon,1983,10,General Women’s Meeting,https://www.churchofjesuschrist.org/study/general-conference/1983/10/agency-and-accountability?lang=eng
1047,Counsel to the Saints,Ezra Taft Benson,1984,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/counsel-to-the-saints?lang=eng
1048,Choose the Good Part,Marvin J. Ashton,1984,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/choose-the-good-part?lang=eng
1049,Marriage and Divorce,David B. Haight,1984,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/marriage-and-divorce?lang=eng
1050,Jesus the Christ: The Words and Their Meaning,G. Homer Durham,1984,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/jesus-the-christ-the-words-and-their-meaning?lang=eng
1051,Building Your Eternal Home,Thomas S. Monson,1984,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/building-your-eternal-home?lang=eng
1052,The Great Plan of the Eternal God,Neal A. Maxwell,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-great-plan-of-the-eternal-god?lang=eng
1053,"Covenants, Ordinances, and Service",A. Theodore Tuttle,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/covenants-ordinances-and-service?lang=eng
1054,A Generation Prepared to Make Wise Choices,Elaine A. Cannon,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/a-generation-prepared-to-make-wise-choices?lang=eng
1055,Coming through the Mists,William Grant Bangerter,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/coming-through-the-mists?lang=eng
1056,Warmed by the Fires of Their Lives,Barbara B. Smith,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/warmed-by-the-fires-of-their-lives?lang=eng
1057,Home and Family: A Divine Eternal Pattern,Gene R. Cook,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/home-and-family-a-divine-eternal-pattern?lang=eng
1058,Patterns of Prayer,Bruce R. McConkie,1984,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/patterns-of-prayer?lang=eng
1059,Missions—Only You Can Decide,Devin G. Durrant,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/missions-only-you-can-decide?lang=eng
1060,Who’s on the Lord’s Team?,J. Thomas Fyans,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/whos-on-the-lords-team?lang=eng
1061,Restoring the Lost Sheep,Joseph B. Wirthlin,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/restoring-the-lost-sheep?lang=eng
1062,Feed My Sheep,Boyd K. Packer,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/feed-my-sheep?lang=eng
1063,Our Commission to Take the Gospel to All the World,Ezra Taft Benson,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/our-commission-to-take-the-gospel-to-all-the-world?lang=eng
1064,The Miracle Made Possible by Faith,Gordon B. Hinckley,1984,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-miracle-made-possible-by-faith?lang=eng
1065,Special Witnesses for Christ,Gordon B. Hinckley,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/special-witnesses-for-christ?lang=eng
1066,Call to the Holy Apostleship,Russell M. Nelson,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/call-to-the-holy-apostleship?lang=eng
1067,“I Love the Sisters of the Church”,Barbara W. Winder,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/i-love-the-sisters-of-the-church?lang=eng
1068,The Simplicity of Gospel Truths,Robert L. Simpson,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-simplicity-of-gospel-truths?lang=eng
1069,The Practice of Truth,J. Richard Clarke,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-practice-of-truth?lang=eng
1070,The Pharisee and the Publican,Howard W. Hunter,1984,4,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-pharisee-and-the-publican?lang=eng
1071,The Magnificent Vision Near Palmyra,James E. Faust,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-magnificent-vision-near-palmyra?lang=eng
1072,The Sure Sound of the Trumpet,Angel Abrea,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/the-sure-sound-of-the-trumpet?lang=eng
1073,Count Your Blessings,Yoshihiko Kikuchi,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/count-your-blessings?lang=eng
1074,Upheld by the Prayers of the Church,John K. Carmack,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/upheld-by-the-prayers-of-the-church?lang=eng
1075,“Youth of the Noble Birthright”,Ardeth G. Kapp,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/youth-of-the-noble-birthright?lang=eng
1076,"“Go Ye Therefore, and Teach All Nations”",L. Tom Perry,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/go-ye-therefore-and-teach-all-nations?lang=eng
1077,Small Acts Lead to Great Consequences,Gordon B. Hinckley,1984,4,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/04/small-acts-lead-to-great-consequences?lang=eng
1078,A New Witness for Christ,Ezra Taft Benson,1984,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/a-new-witness-for-christ?lang=eng
1079,“Out of Obscurity”,Neal A. Maxwell,1984,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/out-of-obscurity?lang=eng
1080,Why Do We Serve?,Dallin H. Oaks,1984,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/why-do-we-serve?lang=eng
1081,Write Down a Date,M. Russell Ballard,1984,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/write-down-a-date?lang=eng
1082,"“And Why Call Ye Me, Lord, Lord, and Do Not the Things Which I Say?”",L. Tom Perry,1984,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/and-why-call-ye-me-lord-lord-and-do-not-the-things-which-i-say?lang=eng
1083,“If Thou Endure It Well”,Marvin J. Ashton,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/if-thou-endure-it-well?lang=eng
1084,The Joy of Service,Russell C. Taylor,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-joy-of-service?lang=eng
1085,“He Returned Speedily”,Robert B. Harbertson,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/he-returned-speedily?lang=eng
1086,Spiritual Power,Devere Harris,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/spiritual-power?lang=eng
1087,The Joy of the Penetrating Light,F. Enzio Busche,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-joy-of-the-penetrating-light?lang=eng
1088,Protect the Spiritual Power Line,Russell M. Nelson,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/protect-the-spiritual-power-line?lang=eng
1089,"“Master, the Tempest Is Raging”",Howard W. Hunter,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/master-the-tempest-is-raging?lang=eng
1090,Eternal Marriage,Marion D. Hanks,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/eternal-marriage?lang=eng
1091,The Banner of the Lord,Victor L. Brown,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-banner-of-the-lord?lang=eng
1092,The Aaronic Priesthood Pathway,Thomas S. Monson,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-aaronic-priesthood-pathway?lang=eng
1093,Prepare for a Mission,R. LaVell Edwards,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/prepare-for-a-mission?lang=eng
1094,When I Was Called as a Scoutmaster,Ezra Taft Benson,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/when-i-was-called-as-a-scoutmaster?lang=eng
1095,The Good and Faithful Servants,Gordon B. Hinckley,1984,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-good-and-faithful-servants?lang=eng
1096,The Cornerstones of Our Faith,Gordon B. Hinckley,1984,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-cornerstones-of-our-faith?lang=eng
1097,The Works of God,James E. Faust,1984,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-works-of-god?lang=eng
1098,“By Their Fruits Ye Shall Know Them”,Royden G. Derrick,1984,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/by-their-fruits-ye-shall-know-them?lang=eng
1099,The Gospel and the Church,Ronald E. Poelman,1984,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-gospel-and-the-church?lang=eng
1100,The Pattern of Our Parentage,Boyd K. Packer,1984,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-pattern-of-our-parentage?lang=eng
1101,Personal Morality,David B. Haight,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/personal-morality?lang=eng
1102,Learning Our Father’s Will,Hugh W. Pinnock,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/learning-our-fathers-will?lang=eng
1103,Service in the Church,Spencer H. Osborn,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/service-in-the-church?lang=eng
1104,The Faith of Our People,Philip T. Sonntag,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-faith-of-our-people?lang=eng
1105,The Power of Keeping the Sabbath Day Holy,John H. Groberg,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-power-of-keeping-the-sabbath-day-holy?lang=eng
1106,The Caravan Moves On,Bruce R. McConkie,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/the-caravan-moves-on?lang=eng
1107,Live the Gospel,Gordon B. Hinckley,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/live-the-gospel?lang=eng
1108,Coordination and Cooperation,Dean L. Larsen,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/coordination-and-cooperation?lang=eng
1109,Keeping the Covenants We Make at Baptism,Dwan J. Young,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/keeping-the-covenants-we-make-at-baptism?lang=eng
1110,Young Women Striving Together,Ardeth G. Kapp,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/young-women-striving-together?lang=eng
1111,Striving Together: Transforming Our Beliefs into Action,Barbara W. Winder,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/striving-together-transforming-our-beliefs-into-action?lang=eng
1112,“If Thou Art Faithful”,Gordon B. Hinckley,1984,10,Sunday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/if-thou-art-faithful?lang=eng
1113,Devere Harris,Spiritual Power,1984,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1984/10/spiritual-power?lang=eng
1114,Our Responsibility to Share the Gospel,Ezra Taft Benson,1985,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/our-responsibility-to-share-the-gospel?lang=eng
1115,The Purifying Power of Gethsemane,Bruce R. McConkie,1985,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/the-purifying-power-of-gethsemane?lang=eng
1116,Reverence for Life,Russell M. Nelson,1985,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/reverence-for-life?lang=eng
1117,Agency and Accountability,Victor L. Brown,1985,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/agency-and-accountability?lang=eng
1118,"Christ, Our Passover",Howard W. Hunter,1985,4,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/christ-our-passover?lang=eng
1119,“Born of Goodly Parents”,L. Tom Perry,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/born-of-goodly-parents?lang=eng
1120,The Invitation of the Master,John Sonnenberg,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/the-invitation-of-the-master?lang=eng
1121,The Joy of Service,F. Arthur Kay,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/the-joy-of-service?lang=eng
1122,Look for the Beautiful,Keith W. Wilcox,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/look-for-the-beautiful?lang=eng
1123,The Mantle of a Bishop,Robert D. Hales,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/the-mantle-of-a-bishop?lang=eng
1124,The Resurrection,James E. Faust,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/the-resurrection?lang=eng
1125,“From Such Turn Away”,Boyd K. Packer,1985,4,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/from-such-turn-away?lang=eng
1126,Preparing Yourselves for Missionary Service,Ezra Taft Benson,1985,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/preparing-yourselves-for-missionary-service?lang=eng
1127,Pursuing Excellence,Peter Vidmar,1985,4,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1985/04/pursuing-excellence?lang=eng
